Query UniProt	Partner UniProt	Query Symbol	Partner Symbol
Q8IUE0	Q8IYQ7	TGIF2LY	THNSL1
Q8IUE0	O75496	TGIF2LY	GMNN
Q8IUE0	Q8IWZ3	TGIF2LY	ANKHD1
Q8IUE0	Q9Y4X5	TGIF2LY	ARIH1
Q8IUE0	O94888	TGIF2LY	UBXN7
Q8IUE0	O75179	TGIF2LY	ANKRD17
Q8IUE0	P63104	TGIF2LY	YWHAZ
O14604	Q9NYB0	TMSB4Y	TERF2IP
O14604	Q01844	TMSB4Y	EWSR1
O14604	Q9NUX5	TMSB4Y	POT1
O14604	P54274	TMSB4Y	TERF1
O14604	P63261	TMSB4Y	ACTG1
O14604	P68133	TMSB4Y	ACTA1
Q01534	P68400	TSPY1	CSNK2A1
Q01534	Q01534	TSPY1	TSPY1
Q01534	Q16777	TSPY1	HIST2H2AC
Q01534	P10275	TSPY1	AR
Q01534	Q16778	TSPY1	HIST2H2BE
Q01534	P68104	TSPY1	EEF1A1
Q01534	Q05639	TSPY1	EEF1A2
A6NKD2	P05067	TSPY2	APP
O00507	Q9NQX6	USP9Y	ZNF331
O00507	P0CG48	USP9Y	UBC
O00507	P29353	USP9Y	SHC1
O00507	Q96EB6	USP9Y	SIRT1
O00507	P54277	USP9Y	PMS1
O00507	Q9NZR4	USP9Y	VSX1
O00507	Q9NZQ3	USP9Y	NCKIPSD
O00507	Q15018	USP9Y	ABRAXAS2
O00507	P49761	USP9Y	CLK3
O00507	P10636	USP9Y	MAPT
O00507	Q7LGA3	USP9Y	HS2ST1
O00507	P31751	USP9Y	AKT2
O00507	P49674	USP9Y	CSNK1E
O14607	P32119	UTY	PRDX2
O14607	P12004	UTY	PCNA
O14607	Q14686	UTY	NCOA6
O14607	Q04725	UTY	TLE2
O14607	Q04724	UTY	TLE1
O14607	O43896	UTY	KIF1C
O14598	P05067	VCY	APP
P08048	Q99496	ZFY	RNF2
P08048	Q96C00	ZFY	ZBTB9
P08048	P17010	ZFY	ZFX
P08048	P54284	ZFY	CACNB3
P08048	Q969R5	ZFY	L3MBTL2
P08048	Q96L73	ZFY	NSD1
O43318	P84022	MAP3K7	SMAD3
P27348	P50991	YWHAQ	CCT4
P49736	Q12873	MCM2	CHD3
P40227	Q96SW2	CCT6A	CRBN
O75554	O75554	WBP4	WBP4
P05067	Q9H0N5	APP	PCBD2
Q9BZK7	Q9NYJ8	TBL1XR1	TAB2
P08047	P0CG48	SP1	UBC
P61978	Q7Z6Z7	HNRNPK	HUWE1
P40337	P78371	VHL	CCT2
Q09472	Q16777	EP300	HIST2H2AC
P0CG48	P54277	UBC	PMS1
P00533	Q14011	EGFR	CIRBP
Q9NRD1	Q9Y4X5	FBXO6	ARIH1
P68133	Q09472	ACTA1	EP300
P17987	P50991	TCP1	CCT4
P68366	Q16555	TUBA4A	DPYSL2
Q06609	Q12873	RAD51	CHD3
P48643	P50991	CCT5	CCT4
P54274	P54274	TERF1	TERF1
P05067	P05067	APP	APP
P68104	Q5S007	EEF1A1	LRRK2
P0CG48	P52597	UBC	HNRNPF
P62805	Q15022	HIST1H4A	SUZ12
P54274	Q09472	TERF1	EP300
P54253	Q96PU8	ATXN1	QKI
P68133	Q05086	ACTA1	UBE3A
P40337	Q99832	VHL	CCT7
Q13618	Q9Y4X5	CUL3	ARIH1
P40337	Q04724	VHL	TLE1
P03372	Q8NI36	ESR1	WDR36
P62805	Q13619	HIST1H4A	CUL4A
P78362	Q96MU7	SRPK2	YTHDC1
P12004	Q09472	PCNA	EP300
P05067	Q14011	APP	CIRBP
P0CG48	Q13619	UBC	CUL4A
P63261	Q99496	ACTG1	RNF2
P38159	P38159	RBMX	RBMX
Q14974	Q7Z6Z7	KPNB1	HUWE1
O75554	Q01844	WBP4	EWSR1
P03372	Q05086	ESR1	UBE3A
P60033	P68104	CD81	EEF1A1
P03372	Q06609	ESR1	RAD51
Q8IWL3	Q9NQC7	HSCB	CYLD
O75496	P68400	GMNN	CSNK2A1
Q01844	Q9NS73	EWSR1	MBIP
P46934	Q15796	NEDD4	SMAD2
P63261	Q9NYJ8	ACTG1	TAB2
P47813	P63241	EIF1AX	EIF5A
P03372	P25685	ESR1	DNAJB1
Q13227	Q9Y618	GPS2	NCOR2
P05362	Q3ZCM7	ICAM1	TUBB8
Q5T3J3	Q5T3J3	LRIF1	LRIF1
P10275	Q14686	AR	NCOA6
P03372	Q96L73	ESR1	NSD1
Q14781	Q14781	CBX2	CBX2
P03372	Q96EB6	ESR1	SIRT1
Q93062	Q9BTL3	RBPMS	FAM103A1
Q92904	Q96EP5	DAZL	DAZAP1
Q05639	Q13619	EEF1A2	CUL4A
Q15038	Q15038	DAZAP2	DAZAP2
P08047	Q15796	SP1	SMAD2
P17987	Q9NQC7	TCP1	CYLD
P38159	Q9NQC7	RBMX	CYLD
P03372	P52597	ESR1	HNRNPF
Q05639	Q92731	EEF1A2	ESR2
P29353	P48643	SHC1	CCT5
P55317	Q96EP5	FOXA1	DAZAP1
O43318	Q9NQC7	MAP3K7	CYLD
P38159	Q9NRW3	RBMX	APOBEC3C
P84022	Q15796	SMAD3	SMAD2
P62258	Q14974	YWHAE	KPNB1
O75376	Q01167	NCOR1	FOXK2
O00213	P05067	APBB1	APP
P00533	P12931	EGFR	SRC
P27348	P55010	YWHAQ	EIF5
Q9NZJ5	Q9NZJ5	EIF2AK3	EIF2AK3
Q99496	Q99496	RNF2	RNF2
P48643	Q9BYE7	CCT5	PCGF6
Q8TBB1	Q96KB5	LNX1	PBK
O60841	P55010	EIF5B	EIF5
Q05086	Q6NUN9	UBE3A	ZNF746
P46934	Q15038	NEDD4	DAZAP2
Q16778	Q7Z6Z7	HIST2H2BE	HUWE1
P0DP25	P11234	CALM3	RALB
P62258	P62995	YWHAE	TRA2B
P03372	P84103	ESR1	SRSF3
Q05639	Q49AN0	EEF1A2	CRY2
P00533	P62805	EGFR	HIST1H4A
P49674	Q49AN0	CSNK1E	CRY2
P68133	Q12824	ACTA1	SMARCB1
P0CG48	Q15796	UBC	SMAD2
Q13618	Q13618	CUL3	CUL3
P00533	P49770	EGFR	EIF2B2
Q96SW2	Q96SW2	CRBN	CRBN
P49368	Q7Z6Z7	CCT3	HUWE1
P78362	Q9NRW3	SRPK2	APOBEC3C
P38159	Q9NRD1	RBMX	FBXO6
Q16555	Q16555	DPYSL2	DPYSL2
P03372	Q9Y618	ESR1	NCOR2
P12004	P12004	PCNA	PCNA
Q96PU8	Q9NWB1	QKI	RBFOX1
