gene_1	gene_2
TGIF2LY	RALB
HS2ST1	USP9Y
TBL1Y	CCT7
TGIF2LY	EIF2AK3
TBL1Y	CCT6A
TGIF2LY	DPYSL2
TBL1Y	DNAJB4
AKT2	USP9Y
TGIF2LY	ANKRD17
TBL1Y	CCT4
TBL1Y	TCP1
TBL1Y	CHD8
TBL1Y	FBXL18
TBL1Y	CCT5
HSFY1	RAD51
TBL1Y	CCT6B
TGIF2LY	KLHL24
TBL1Y	TUBA4A
TBL1Y	TUBB8
FAA1	PRY2
FAA4	PRY2
CYLD	RPS4Y1
FOXA1	EIF1AY
JAK2	HSFY1
SMARCB1	HSFY1
ORF21	USP9Y
MTF1	DDX3Y
DHH1	PRY2
HRP1	RBMY1F
TAE1	RBMY1F
MUD2	RBMY1F
BFR1	PRY2
HNRNPL	NLGN4Y
HNRNPL	PCDH11Y
MIRLET7B	DDX3Y
MIRLET7D	DDX3Y
MIRLET7F1	DDX3Y
MIRLET7G	DDX3Y
MIR98	DDX3Y
MIR7-1	DDX3Y
MIR7-2	DDX3Y
MIR15B	DDX3Y
MIR18B	DDX3Y
MIR19B2	DDX3Y
MIR20A	DDX3Y
MIR25	DDX3Y
MIR31	DDX3Y
MIR34A	DDX3Y
MIR106A	DDX3Y
MIR106B	DDX3Y
MIR107	DDX3Y
MIR128-2	DDX3Y
MIR143	DDX3Y
MIR363	DDX3Y
KDM5D	KMT2A
PCBP1	DDX3Y
DBF4	MCM2
MCM2	MCM2
KMT2A	KMT2A
PUM2	PUM2
PCNA	PCNA
CKB2	CKB2
RPN6	RPN6
NAB2	NAB2
RAD51	RPT3
RPN6	RPT3
DSS4	FAA4
DIA2	MCM2
RPT3	RPN6
HRP1	NAB2
RPT3	RPT3
DAZAP2	DAZAP2
RBMX	FAM103A1
HNRNPK	HNRNPK
MBIP	MBIP
RBMX	LNX1
UBC	DAZAP2
WDR5	MBIP
PRPS1	PRPS1
CIRBP	RBMX
HNRNPK	RBMX
HNRNPK	QKI
APC1	APC1
MYO5	ARP3
MCM2	DBF4
RAD51	RAD51
RPO41	MTF1
MTF1	RPO41
VTI1	VTI1
DBF4	DBF4
CAF16	CAF16
SHE2	SHE2
MYO5	MYO5
