Gene_1	Gene_2
AKIP1	RP11-57G10.3
CEBPD	RP1-85F18.1
DZIP3	FKSG13
RP11-380J17.1	XPO4
RP1-130E4.1	TRIP12
NDUFS1	RP11-7D5.3
APP	UCHL1
CBX2	RP11-573G6.1
CDABP0047	MCM2
CCT4	Tuba3a
AHCYL1	tcag7.1300
CCT2	NIPSNAP1
RCN1	SUZ12
CIRBP	RP1-240B8.3
MCM7	PPP1CA
POT1	RP11-54A4.10-004
PUM2	RP1-41P2.9
PNMT	RP1-130E4.1
APP	RP11-187B3.1
APP	ARF6
C8orf34	UBC
CSNK2A1	OGT
BCOR	GS1-120K12.1
DNAJB4	ETF1
PCNA	SKI
IAH1	MCM2
BOS_21644	DPYSL5
Eea1	KRAS
AHCYL2	CLK4
COL6A1	RP3-330O12.3
RP11-187B3.1	TBK1
SRI	TCF12
MED1	PIN1
EGFR	RP4-769N13.3
DHX30	WWOX
DDX46	SRPK2
Atp2b1	CALM1
GNMT	PP8000
RP1-85F18.1	VPS18
PPP1R1A	RP5-1068B5.2
RAC3	RP1-130E4.1
EIF4B	SMAD3
PIN1	PNMA1
RNF151	UBC
B4GALT3	RP3-330O12.3
UBC	UBC
DCAF16	RBPJ
PTPN5	TERF1
POC1A	RP11-101P17.12-002
MCM2	PSMB5
IRS4	TERF1
CREB1	HIST3H3
OK/SW-cl.85	TUBA4A
APP	UNQ6168
LRP6	WNT1
BM-015	RAP1GDS1
APP	RP11-223J15.3
APP	C1orf116
CUL3	NDUFA4
ATXN1	TP53I11
ACACB	RP3-339A18.4
RP1-85F18.1	RP3-423B22.3
CHD4	NAB1
APP	PARVA
APP	VCY
EGFR	RP11-513I15.2
SMAD3	Zfp128
ICAM1	RP11-196G18.6
THG1L	UBC
BPTF	EGFR
APP	FAM53A
CCT6A	WDR92
RP11-307C12.1	RP4-628J24.3
COL1A2	HSPC057
HDAC2	RP1-130E4.1
Mad2l1	RP3-401D24.1
DUS3L	WDR36
CUL3	RP11-475E11.6
KDM2A	KRAS
DNAJB4	Hsph1
C6orf141	TUBA4A
RP11-513M16.6	ZNF746
FOS	NCOR2
OGT	RP3-339A18.4
CUL3	NAP1L1
CUL3	KCTD9
MAP2K1	VHL
HSPC057	MRPL13
CGI-04	CUL3
U2AF1	ZNF746
DADB-122G4.4	SRPK2
TWIST1	WDR5
RP4-675E8.4	UBC
RP23-9F23.2	UBC
UBC	YKL145W
GS1-120K12.1	RP4-791M13.2
BM-015	DR1
CSE1L	GS1-120K12.1
EGFR	LSR
NPM1	RP11-391H12.1
RP1-130E4.1	UNQ6002/PRO34564
DVL2	FOXK2
ACY1	APP
FOXK2	SMARCA5
APP	RP11-66D17.10-003
CALM1	Tdrp
TRAF6	UCHL1
EGFR	SOCS1
PPIH	RP3-339A18.4
APP	UBE2E2
APP	DIXDC1
CDABP0091	CUL3
KRAS	PNPLA4
APP	C17orf85
GS1-120K12.1	RPL36
RP11-1114A5.1	Shoc2
HHV8GK18_gp11	TUBA3C
FBXO25	TCP1
MCM7	RBBP4
DUSP12	PPM1A
CUL3	RP11-544A12.7
CCT7	RP13-514E23.1
AGFG1	APP
SENP3	ZNF746
CUL3	PLEC
EGFR	RP11-427L11.1
GS1-120K12.1	RP4-756G23.7
PRO2451	TBL1XR1
CCT5	TYK2
RP1-85F18.1	RP11-98D18.11-001
HUSSY-27	SPANXN3
AMBRA1	GS1-120K12.1
MCM2	NME2
CSNK2A2	NDE1
ARRB2	TUBA4A
FT005	RP3-339A18.4
RP3-330O12.3	TRAP1
WWC1	YWHAQ
PTEN	RP11-383C12.1
UBC	YOL109W
PRPF31	PRPF6
HRIHFB2018	ZNF746
ROGDI	TUBA3C
RP1-130E4.1	UNC45A
BRIP1	PMS1
MCM2	PPP2R1A
PIAS2	RP24-143D17.2
APP	RAD51C
CCDC8	CHD4
CUL3	XX-FW83563B9.1
CHAF1A	HIST3H3
Cul3	PPP3R1
FAM168A	RP3-330O12.3
CSNK2A2	PIN1
RP1-130E4.1	RP5-823N20.1
HSPA4	RP11-57G10.3
ATP5A1	SHBG
APP	REG1A
RP11-384C4.5	XPO4
APP	My048
RP1-130E4.1	RP1-50O24.1
RP11-401E9.1	UBC
CD81	DDX3X
APP	SPX
APC	UBC
PAG1	PMS1
ATXN1	WNK1
CLTC	RP3-339A18.4
CCT6A	METTL20
CD81	SNRPD3
NSUN2	RPS27A
RP11-114M11.1	RP11-96K19.1
CSNK2A1	RP1-283E3.2
GLUD2	GS1-120K12.1
FBXW7	NCOR1
MAK16	RPS27A
Cct8	RP11-443G18.6
CDK4	CEBPA
RP1-154G14.1	TBL1Y
CD22	RP11-307C12.1
H2AFY	HIST2H2BE
CALM1	EIF5B
OK/SW-cl.26	RP1-130E4.1
CYP1A1	QKI
DNAJA2	TCP1
RP11-110L1.4	TCP1
CDKN2A	Vhl
APP	PLEKHJ1
KRAS	RP1-39G22.1
APP	LACRT
FOXK2	RP11-8D7.1
KLHL40	ZNF746
APP	CTA-216E10.6
HIST1H2BK	MCM2
RP3-401D24.1	RP4-800J21.2
POT1	PROSER2
PRPF31	RP23-443E19.4
Ccdc64	KIF1C
HNF4G	NSD1
HESX1	RP11-203D19.1
Cul2	VHL
NCOA1	RP1-85F18.1
APP	SCAND2P
AD-006	RP11-94L15.2
SMAD3	ZBTB3
APP	IREB2
HSPC057	RP11-375E1__A.4
NFYA	SP1
MAP3K1	UBXN7
CGI-126	UBXN7
CCDC6	ZNF331
ARL1	EGFR
MDM2	WWOX
CGI-204	ZNF331
ICAM1	RP11-143M1.6
CLK1	PTPN22
CUL3	RP13-39P12.4
RALB	TGIF2LY
NUDCD2	POT1
APP	UNQ391/PRO726
