Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Adipocytokine signaling pathway	590	KEGG	9606	2	70	0.21957677843124482	0.2565581305880861	AKT2; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Orc1 removal from chromatin	12931	REACTOME	9606	2	70	0.21957677843124482	0.2565581305880861	MCM2; UBC; 	MCM2|IDBG-54871|ENSG00000073111|4171|; UBC|IDBG-64029|ENSG00000150991|7316|; 
RIG-I-like receptor signaling pathway	5713	KEGG	9606	2	70	0.21957677843124482	0.2565581305880861	CYLD; MAP3K7; 	CYLD|IDBG-30697|ENSG00000083799|102724054,1540|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
Switching of origins to a post-replicative state	12947	REACTOME	9606	2	70	0.21957677843124482	0.2565581305880861	MCM2; UBC; 	MCM2|IDBG-54871|ENSG00000073111|4171|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	13066	REACTOME	9606	2	71	0.224209555066116	0.2608727527498834	CD81; ICAM1; 	CD81|IDBG-22455|ENSG00000110651|975|; ICAM1|IDBG-26804|ENSG00000090339|3383|; 
NCAM signaling for neurite out-growth	13914	REACTOME	9606	2	71	0.224209555066116	0.2608727527498834	CACNB3; JAK2; 	CACNB3|IDBG-30418|ENSG00000167535|784|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Melanoma	490	KEGG	9606	2	72	0.22885001687976644	0.2657149777578878	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
Constitutive PI3K/AKT Signaling in Cancer	13715	REACTOME	9606	2	73	0.23349724841549302	0.2705448285398719	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
Spliceosome	8120	KEGG	9606	3	133	0.2339911485948195	0.2705522655627601	HNRNPK; PRPF31; RBMX; 	HNRNPK|IDBG-73948|ENSG00000165119|3190|; PRPF31|IDBG-68110|ENSG00000105618|26121|; RBMX|IDBG-87732|ENSG00000147274|101928747,26787,27316|; 
Downstream signaling of activated FGFR	16879	REACTOME	9606	3	134	0.23733081221935975	0.273843244868492	AKT2; EGFR; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
B cell receptor signaling pathway	532	KEGG	9606	2	74	0.2381503556512911	0.2742187705113414	AKT2; CD81; 	AKT2|IDBG-51270|ENSG00000105221|208|; CD81|IDBG-22455|ENSG00000110651|975|; 
Transcriptional regulation by small RNAs	17771	REACTOME	9606	2	76	0.24747072592060435	0.28436077202057025	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
Platelet degranulation 	13130	REACTOME	9606	2	78	0.25680438944439227	0.29386894049822204	APP; TUBA4A; 	APP|IDBG-1100|ENSG00000142192|351|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Validated targets of C-MYC transcriptional activation	15279	PID NCI	9606	2	78	0.25680438944439227	0.29386894049822204	HUWE1; SMAD3; 	HUWE1|IDBG-70116|ENSG00000086758|10075|; SMAD3|IDBG-18366|ENSG00000166949|4088|; 
JAK STAT pathway and regulation	16125	INOH	9606	5	273	0.2591735809650423	0.29596983011440015	AKT2; CSNK1E; EGFR; JAK2; MAP3K7; 	AKT2|IDBG-51270|ENSG00000105221|208|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
Metabolism of lipids and lipoproteins	16920	REACTOME	9606	9	554	0.26082392454249426	0.2972428708851834	EP300; HDAC3; KPNB1; NCOA6; NCOR1; NCOR2; SP1; TBL1X; TBL1XR1; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; KPNB1|IDBG-56053|ENSG00000108424|3837|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; SP1|IDBG-36616|ENSG00000185591|6667|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
CD4 T cell receptor signaling	16104	INOH	9606	2	79	0.26147418794028465	0.29737330800585654	AKT2; MAP3K7; 	AKT2|IDBG-51270|ENSG00000105221|208|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
Factors involved in megakaryocyte development and platelet production	13101	REACTOME	9606	3	142	0.2643232918784232	0.29999882820557233	EP300; JAK2; TUBA4A; 	EP300|IDBG-8992|ENSG00000100393|2033|; JAK2|IDBG-47039|ENSG00000096968|3717|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
IL2	15918	NETPATH	9606	2	81	0.2708158511776874	0.3054934906577571	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
NoRC negatively regulates rRNA expression	17921	REACTOME	9606	2	81	0.2708158511776874	0.3054934906577571	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
Unfolded Protein Response (UPR)	16784	REACTOME	9606	2	81	0.2708158511776874	0.3054934906577571	EIF2AK3; SHC1; 	EIF2AK3|IDBG-60518|ENSG00000172071|9451|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
TSH	15927	NETPATH	9606	2	82	0.27548622535796025	0.31013155187356584	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Downstream signal transduction	13329	REACTOME	9606	3	146	0.277966887896254	0.3122907343773704	AKT2; EGFR; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Response to elevated platelet cytosolic Ca2+	13131	REACTOME	9606	2	83	0.2801553313826367	0.31411355336841085	APP; TUBA4A; 	APP|IDBG-1100|ENSG00000142192|351|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
DAP12 signaling	13003	REACTOME	9606	3	147	0.2813894936715948	0.3148612277978531	AKT2; EGFR; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Endocytosis	4386	KEGG	9606	4	214	0.2822021998332128	0.3151352533348755	EGFR; RABEP1; SMAD2; SMAD3; 	EGFR|IDBG-16933|ENSG00000146648|1956|; RABEP1|IDBG-21268|ENSG00000029725|9135|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; 
PDGFR-beta signaling pathway	15816	PID NCI	9606	2	85	0.28948695633795596	0.31941403731126355	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
PI-3K cascade	13309	REACTOME	9606	2	85	0.28948695633795596	0.31941403731126355	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
PI3K events in ERBB2 signaling	13286	REACTOME	9606	2	85	0.28948695633795596	0.31941403731126355	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
PI3K events in ERBB4 signaling	13263	REACTOME	9606	2	85	0.28948695633795596	0.31941403731126355	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
PI3K/AKT Signaling in Cancer	19195	REACTOME	9606	2	85	0.28948695633795596	0.31941403731126355	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
PIP3 activates AKT signaling	12989	REACTOME	9606	2	85	0.28948695633795596	0.31941403731126355	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
GAB1 signalosome	13212	REACTOME	9606	2	88	0.3034579438680649	0.3328441874442214	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
PI3K/AKT activation	13178	REACTOME	9606	2	88	0.3034579438680649	0.3328441874442214	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
Regulatory RNA pathways	19919	REACTOME	9606	2	88	0.3034579438680649	0.3328441874442214	HIST2H2AC; HIST2H2BE; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
DAP12 interactions	13004	REACTOME	9606	3	155	0.30888908080875105	0.33813301745336655	AKT2; EGFR; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Progesterone-mediated oocyte maturation	5712	KEGG	9606	2	91	0.3173821172407829	0.3467462107650286	AKT2; CCNB2; 	AKT2|IDBG-51270|ENSG00000105221|208|; CCNB2|IDBG-14456|ENSG00000157456|9133|; 
Jak-STAT signaling pathway	568	KEGG	9606	3	158	0.3192356352544491	0.34808600700632464	AKT2; EP300; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; EP300|IDBG-8992|ENSG00000100393|2033|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Formation of a pool of free 40S subunits	13447	REACTOME	9606	2	94	0.33124369732111086	0.3604710823788559	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
RNA transport	10361	KEGG	9606	3	170	0.3606110561108349	0.3916617145626485	EIF1AX; EIF1AY; KPNB1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; EIF1AY|IDBG-384|ENSG00000198692|9086|; KPNB1|IDBG-56053|ENSG00000108424|3837|; 
Role of LAT2/NTAL/LAB on calcium mobilization	17405	REACTOME	9606	2	101	0.3632643353787489	0.39377286354532354	AKT2; EGFR; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; 
Protein processing in endoplasmic reticulum	10363	KEGG	9606	3	171	0.3640490164638539	0.39385419909832153	DNAJB1; EIF2AK3; FBXO6; 	DNAJB1|IDBG-33491|ENSG00000132002|3337|; EIF2AK3|IDBG-60518|ENSG00000172071|9451|; FBXO6|IDBG-89462|ENSG00000116663|26270|; 
Alzheimer's disease	521	KEGG	9606	3	172	0.3674842669890682	0.3967972143559005	APP; EIF2AK3; NDUFS1; 	APP|IDBG-1100|ENSG00000142192|351|; EIF2AK3|IDBG-60518|ENSG00000172071|9451|; NDUFS1|IDBG-79438|ENSG00000023228|4719|; 
Separation of Sister Chromatids	12942	REACTOME	9606	3	173	0.3709165691118616	0.3997256230234625	MIS12; TUBA4A; UBC; 	MIS12|IDBG-21731|ENSG00000167842|79003|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Purine metabolism	503	KEGG	9606	3	174	0.37434568755103104	0.4018604576224802	PRIM1; PRIM2; PRPS1; 	PRIM1|IDBG-41538|ENSG00000198056|5557|; PRIM2|IDBG-91619|ENSG00000146143|5558|; PRPS1|IDBG-81487|ENSG00000147224|5631|; 
Signaling by PDGF	13330	REACTOME	9606	3	174	0.37434568755103104	0.4018604576224802	AKT2; EGFR; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
L13a-mediated translational silencing of Ceruloplasmin expression	13096	REACTOME	9606	2	104	0.3768184792736003	0.40295617725789623	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Pyrimidine metabolism	409	KEGG	9606	2	104	0.3768184792736003	0.40295617725789623	PRIM1; PRIM2; 	PRIM1|IDBG-41538|ENSG00000198056|5557|; PRIM2|IDBG-91619|ENSG00000146143|5558|; 
GTP hydrolysis and joining of the 60S ribosomal subunit	13444	REACTOME	9606	2	105	0.381310882352572	0.4061948938688627	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
VEGFA-VEGFR2 Pathway	18745	REACTOME	9606	2	105	0.381310882352572	0.4061948938688627	AKT2; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
T cell receptor signaling pathway	563	KEGG	9606	2	107	0.3902549107813792	0.4149261982445699	AKT2; MAP3K7; 	AKT2|IDBG-51270|ENSG00000105221|208|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
Chemokine signaling pathway	4389	KEGG	9606	3	181	0.39824131480511826	0.42180139258939053	AKT2; JAK2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Mitotic Anaphase	18656	REACTOME	9606	3	181	0.39824131480511826	0.42180139258939053	MIS12; TUBA4A; UBC; 	MIS12|IDBG-21731|ENSG00000167842|79003|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Mitotic Metaphase and Anaphase	19900	REACTOME	9606	3	182	0.401636895108063	0.4245875748285238	MIS12; TUBA4A; UBC; 	MIS12|IDBG-21731|ENSG00000167842|79003|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cap-dependent Translation Initiation	18804	REACTOME	9606	2	112	0.41236059451638735	0.4334472158268844	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Eukaryotic Translation Initiation	16696	REACTOME	9606	2	112	0.41236059451638735	0.4334472158268844	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Hedgehog 'off' state	18085	REACTOME	9606	2	112	0.41236059451638735	0.4334472158268844	TUBA4A; UBC; 	TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by VEGF	17346	REACTOME	9606	2	114	0.4210942446940794	0.44179074821401526	AKT2; JAK2; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Host Interactions of HIV factors	19514	REACTOME	9606	2	121	0.4511310452935536	0.4724108115809854	KPNB1; UBC; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Huntington's disease	4392	KEGG	9606	3	198	0.4551356388664747	0.4757067411881233	EP300; NDUFS1; SP1; 	EP300|IDBG-8992|ENSG00000100393|2033|; NDUFS1|IDBG-79438|ENSG00000023228|4719|; SP1|IDBG-36616|ENSG00000185591|6667|; 
Axon guidance	494	KEGG	9606	2	128	0.4802794864184593	0.5001034051824482	DPYSL2; DPYSL5; 	DPYSL2|IDBG-13200|ENSG00000092964|102723812,1808|; DPYSL5|IDBG-36183|ENSG00000157851|56896|; 
Signaling by Hedgehog	16836	REACTOME	9606	2	128	0.4802794864184593	0.5001034051824482	TUBA4A; UBC; 	TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Natural killer cell mediated cytotoxicity	578	KEGG	9606	2	130	0.48843478409161445	0.5076428935783633	ICAM1; SHC1; 	ICAM1|IDBG-26804|ENSG00000090339|3383|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Influenza Life Cycle	19285	REACTOME	9606	2	131	0.49248278550586755	0.5108933569266476	KPNB1; RPS4Y1; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Focal adhesion	546	KEGG	9606	3	210	0.493957177496952	0.5114668535649409	AKT2; EGFR; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Gastrin-CREB signalling pathway via PKC and MAPK	13219	REACTOME	9606	3	212	0.5002982691600699	0.5170680435453237	APP; EGFR; JAK2; 	APP|IDBG-1100|ENSG00000142192|351|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; 
Tight junction	522	KEGG	9606	2	135	0.508473784452335	0.5245407999461821	AKT2; CSNK2A1; 	AKT2|IDBG-51270|ENSG00000105221|208|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
Influenza Infection	16853	REACTOME	9606	2	136	0.5124206290269812	0.5276316310018081	KPNB1; RPS4Y1; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Insulin signaling pathway	531	KEGG	9606	2	143	0.539466017618018	0.5534263212162662	AKT2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
beta-catenin independent WNT signaling	17081	REACTOME	9606	2	143	0.539466017618018	0.5534263212162662	MAP3K7; UBC; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cell adhesion molecules (CAMs)	440	KEGG	9606	2	144	0.5432453267773583	0.5562751962388078	ICAM1; NLGN3; 	ICAM1|IDBG-26804|ENSG00000090339|3383|; NLGN3|IDBG-75254|ENSG00000196338|54413|; 
Translation	17867	REACTOME	9606	2	145	0.5470033224321431	0.5590917936461131	EIF1AX; RPS4Y1; 	EIF1AX|IDBG-50658|ENSG00000173674|1964|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
Phagosome	10394	KEGG	9606	2	152	0.5727076619701287	0.5842881477820246	TUBA4A; TUBB8; 	TUBA4A|IDBG-81457|ENSG00000127824|7277|; TUBB8|IDBG-777287|ENSG00000261456|347688|; 
Hemostasis	19856	REACTOME	9606	6	508	0.620618550833975	0.6285461600599563	AKT2; APP; EP300; JAK2; SHC1; TUBA4A; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; EP300|IDBG-8992|ENSG00000100393|2033|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Glycogen storage diseases	19851	REACTOME	9606	3	253	0.6205348621318492	0.6296103262946551	HS2ST1; PRPS1; UBC; 	HS2ST1|IDBG-100108|ENSG00000153936|9653|; PRPS1|IDBG-81487|ENSG00000147224|5631|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Metabolism of carbohydrates	17445	REACTOME	9606	3	253	0.6205348621318492	0.6296103262946551	HS2ST1; PRPS1; UBC; 	HS2ST1|IDBG-100108|ENSG00000153936|9653|; PRPS1|IDBG-81487|ENSG00000147224|5631|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Myoclonic epilepsy of Lafora	17077	REACTOME	9606	3	253	0.6205348621318492	0.6296103262946551	HS2ST1; PRPS1; UBC; 	HS2ST1|IDBG-100108|ENSG00000153936|9653|; PRPS1|IDBG-81487|ENSG00000147224|5631|; UBC|IDBG-64029|ENSG00000150991|7316|; 
HIV Infection	19164	REACTOME	9606	2	209	0.7429294556208107	0.7510489032232239	KPNB1; UBC; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Regulation of actin cytoskeleton	404	KEGG	9606	2	217	0.7615563161596204	0.7684795553974351	EGFR; TMSB4Y; 	EGFR|IDBG-16933|ENSG00000146648|1956|; TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
Extracellular matrix organization	17095	REACTOME	9606	2	266	0.8520468779763282	0.8582323362556482	APP; ICAM1; 	APP|IDBG-1100|ENSG00000142192|351|; ICAM1|IDBG-26804|ENSG00000090339|3383|; 
Metabolism	19429	REACTOME	9606	14	1535	0.9310111169935029	0.9360709600206414	CACNB3; EP300; HDAC3; HS2ST1; KPNB1; NCOA6; NCOR1; NCOR2; NDUFS1; PRPS1; SP1; TBL1X; TBL1XR1; UBC; 	CACNB3|IDBG-30418|ENSG00000167535|784|; EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HS2ST1|IDBG-100108|ENSG00000153936|9653|; KPNB1|IDBG-56053|ENSG00000108424|3837|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; NDUFS1|IDBG-79438|ENSG00000023228|4719|; PRPS1|IDBG-81487|ENSG00000147224|5631|; SP1|IDBG-36616|ENSG00000185591|6667|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Transmembrane transport of small molecules	16726	REACTOME	9606	4	606	0.9514097330535254	0.9548506362472091	NCOA6; TBL1X; TBL1XR1; UBC; 	NCOA6|IDBG-68724|ENSG00000198646|23054|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
GPCR downstream signaling	18003	REACTOME	9606	4	923	0.9978743887850438	0.9978743887850438	AKT2; APP; JAK2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Signaling by GPCR	17449	REACTOME	9606	5	1035	0.9975604498001811	0.9993611004315894	AKT2; APP; EGFR; JAK2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
