Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Antiviral mechanism by IFN-stimulated genes	17226	REACTOME	9606	3	68	0.05380177235575156	0.08966962059291926	ARIH1; KPNB1; UBC; 	ARIH1|IDBG-20750|ENSG00000166233|25820|; KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; 
ISG15 antiviral mechanism	13075	REACTOME	9606	3	68	0.05380177235575156	0.08966962059291926	ARIH1; KPNB1; UBC; 	ARIH1|IDBG-20750|ENSG00000166233|25820|; KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Renal cell carcinoma	483	KEGG	9606	3	68	0.05380177235575156	0.08966962059291926	AKT2; EP300; VHL; 	AKT2|IDBG-51270|ENSG00000105221|208|; EP300|IDBG-8992|ENSG00000100393|2033|; VHL|IDBG-17819|ENSG00000134086|7428|; 
Oocyte meiosis	8113	KEGG	9606	4	114	0.055196800475586796	0.0906337995974872	AR; CCNB2; YWHAE; YWHAQ; 	AR|IDBG-73722|ENSG00000169083|367|; CCNB2|IDBG-14456|ENSG00000157456|9133|; YWHAE|IDBG-14629|ENSG00000108953|7531|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
Signaling by EGFR	13216	REACTOME	9606	5	164	0.055530123748454015	0.09091214949968136	AKT2; EGFR; JAK2; SHC1; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Bcr signaling pathway	4023	PID BIOCARTA	9606	2	31	0.0574697999460226	0.0932623946492472	CSNK2A1; SHC1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
IL1-mediated signaling events	15122	PID NCI	9606	2	31	0.0574697999460226	0.0932623946492472	MAP3K7; TAB1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
disassembly of the destruction complex and recruitment of AXIN to the membrane	17567	REACTOME	9606	2	31	0.0574697999460226	0.0932623946492472	LRP5; LRP6; 	LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; 
IL1	15917	NETPATH	9606	3	70	0.0577313817671464	0.09341375183896866	EIF2AK3; MAP3K7; TAB1; 	EIF2AK3|IDBG-60518|ENSG00000172071|9451|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Signaling by EGFR in Cancer	16839	REACTOME	9606	5	166	0.05791314919204283	0.09343545872553422	AKT2; EGFR; JAK2; SHC1; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Leishmaniasis	10355	KEGG	9606	3	71	0.05974598450789333	0.09611310551269796	JAK2; MAP3K7; TAB1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Role of egf receptor transactivation by gpcrs in cardiac hypertrophy	3987	PID BIOCARTA	9606	2	32	0.06081050203759795	0.09726175397944341	EGFR; SHC1; 	EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
