interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot	database
TBL1Y	NCOR1	Q9BQ87	O75376	BioGrid
TBL1Y	HDAC3	Q9BQ87	O15379	BioGrid
ZFY	NSD1	P08048	Q96L73	BioGrid
TGIF2LY	LRP6	Q8IUE0	O75581	BioGrid
CLK3	USP9Y	P49761	O00507	BioGrid
TGIF2LY	PDCD4	Q8IUE0	Q53EL6	BioGrid
HSFY1	TUBA3C	Q96LI6	P0DPH7	BioGrid
TGIF2LY	ANKHD1-EIF4EBP3	Q8IUE0	[]	BioGrid
TGIF2LY	OGFR	Q8IUE0	Q9NZT2	BioGrid
ZFY	CACNB3	P08048	P54284	BioGrid
NLGN4Y	PRIM1	Q8NFZ3	P49642	BioGrid
TGIF2LY	CRBN	Q8IUE0	Q96SW2	BioGrid
TBL1Y	CAPN15	Q9BQ87	O75808	BioGrid
TGIF2LY	AHCYL2	Q8IUE0	Q96HN2	BioGrid
TGIF2LY	PGP	Q8IUE0	A6NDG6	BioGrid
TGIF2LY	GMNN	Q8IUE0	O75496	BioGrid
TGIF2LY	DCAF16	Q8IUE0	Q9NXF7	BioGrid
TGIF2LY	THNSL1	Q8IUE0	Q8IYQ7	BioGrid
TGIF2LY	LRP5	Q8IUE0	O75197	BioGrid
NLGN4Y	PRIM2	Q8NFZ3	P49643	BioGrid
TBL1Y	INTS6	Q9BQ87	Q9UL03	BioGrid
TGIF2LY	IRGQ	Q8IUE0	Q8WZA9	BioGrid
TGIF2LY	PBK	Q8IUE0	Q96KB5	BioGrid
HSFY1	SATB2	Q96LI6	Q9UPW6	BioGrid
HSFY1	POTEF	Q96LI6	A5A3E0	BioGrid
HSFY1	CHD4	Q96LI6	Q14839	BioGrid
TBL1Y	MAP3K7	Q9BQ87	O43318	BioGrid
TGIF2LY	ARIH1	Q8IUE0	Q9Y4X5	BioGrid
NCKIPSD	USP9Y	Q9NZQ3	O00507	BioGrid
ZNF331	USP9Y	Q9NQX6	O00507	BioGrid
TGIF2LY	DPYSL5	Q8IUE0	Q9BPU6	BioGrid
CSNK1E	RPS4Y2	P49674	Q8TD47	BioGrid
TGIF2LY	AHCYL1	Q8IUE0	O43865	BioGrid
TBL1Y	LRIF1	Q9BQ87	Q5T3J3	BioGrid
TGIF2LY	UBXN7	Q8IUE0	O94888	BioGrid
TBL1Y	CCT2	Q9BQ87	P78371	BioGrid
HSFY1	CHD3	Q96LI6	Q12873	BioGrid
HSFY1	MIS12	Q96LI6	Q9H081	BioGrid
TBL1Y	TAB1	Q9BQ87	Q15750	BioGrid
TBL1Y	DNAJB1	Q9BQ87	P25685	BioGrid
TBL1Y	WDR36	Q9BQ87	Q8NI36	BioGrid
TBL1Y	CCT3	Q9BQ87	P49368	BioGrid
NUDCD2	DDX3Y	Q8WVJ2	O15523	BioGrid
TGIF2LY	RALB	Q8IUE0	P11234	BioGrid
HS2ST1	USP9Y	Q7LGA3	O00507	BioGrid
TBL1Y	CCT7	Q9BQ87	Q99832	BioGrid
TGIF2LY	EIF2AK3	Q8IUE0	Q9NZJ5	BioGrid
TBL1Y	CCT6A	Q9BQ87	P40227	BioGrid
