interactor_1_x	interactor_2_x	interactor_1_uniprot_x	interactor_2_uniprot_x	database_x	set_genes	interactor_1_y	interactor_2_y	interactor_1_uniprot_y	interactor_2_uniprot_y	database_y
ACTA1	TMSB4Y	P68133	O14604	BioGrid	frozenset({'TMSB4Y', 'ACTA1'})	TMSB4Y	ACTA1	O14604	P68133	IID
RPAP1	DDX3Y	Q9BWH6	O15523	BioGrid	frozenset({'DDX3Y', 'RPAP1'})	DDX3Y	RPAP1	O15523	Q9BWH6	IID
PMS1	USP9Y	P54277	O00507	BioGrid	frozenset({'USP9Y', 'PMS1'})	USP9Y	PMS1	O00507	P54277	IID
NCOA6	UTY	Q14686	O14607	BioGrid	frozenset({'UTY', 'NCOA6'})	UTY	NCOA6	O14607	Q14686	IID
SRY	SP1	Q05066	P08047	BioGrid	frozenset({'SRY', 'SP1'})	SRY	SP1	Q05066	P08047	IID
ZFY	ZBTB9	P08048	Q96C00	BioGrid	frozenset({'ZBTB9', 'ZFY'})	ZFY	ZBTB9	P08048	Q96C00	IID
PCBD2	TGIF2LY	Q9H0N5	Q8IUE0	BioGrid	frozenset({'PCBD2', 'TGIF2LY'})	TGIF2LY	PCBD2	Q8IUE0	Q9H0N5	IID
TSPY1	HIST2H2AC	Q01534	Q16777	BioGrid	frozenset({'TSPY1', 'HIST2H2AC'})	TSPY1	HIST2H2AC	Q01534	Q16777	IID
TSPY1	HIST2H2BE	Q01534	Q16778	BioGrid	frozenset({'TSPY1', 'HIST2H2BE'})	TSPY1	HIST2H2BE	Q01534	Q16778	IID
SAP25	DDX3Y	Q8TEE9	O15523	BioGrid	frozenset({'DDX3Y', 'SAP25'})	DDX3Y	SAP25	O15523	Q8TEE9	IID
CSNK2A1	TSPY1	P68400	Q01534	BioGrid	frozenset({'CSNK2A1', 'TSPY1'})	TSPY1	CSNK2A1	Q01534	P68400	IID
SRY	EP300	Q05066	Q09472	BioGrid	frozenset({'SRY', 'EP300'})	SRY	EP300	Q05066	Q09472	IID
